"Query"	"NodeId"	"ExtNodeId"	"Loc_start"
"GLKT0ZE01CM6YM"	"195"	"753"	"643"
"GLKT0ZE01A2A2W"	"195"	"753"	"624"
"GLKT0ZE01AFVBE"	"195"	"753"	"630"
"GLKT0ZE01DKSM5"	"195"	"753"	"646"
"GLKT0ZE01D387U"	"195"	"753"	"630"
"GLKT0ZE01D5TP0"	"195"	"753"	"630"
"GLKT0ZE01CDA0P"	"195"	"753"	"601"
"GLKT0ZE01CY7NI"	"195"	"753"	"643"
"GLKT0ZE01EB2W3"	"195"	"753"	"620"
"GLKT0ZE01AI2LV"	"195"	"753"	"620"
"GLKT0ZE01ELDJ4"	"195"	"753"	"635"
"GLKT0ZE01DAZ0R"	"195"	"753"	"601"
"GLKT0ZE01CQB0K"	"195"	"753"	"624"
"GLKT0ZE01E12G9"	"195"	"753"	"601"
"GLKT0ZE01D4R9I"	"195"	"753"	"630"
"GLKT0ZE01DX3BU"	"195"	"753"	"601"
"GLKT0ZE01BYD8Z"	"195"	"753"	"624"
"GLKT0ZE01AK13J"	"195"	"753"	"624"
"GLKT0ZE01CWIVJ"	"195"	"753"	"624"
"GLKT0ZE01D9X60"	"195"	"753"	"601"
"GLKT0ZE01C9FCM"	"195"	"753"	"624"
"GLKT0ZE01D4WE9"	"195"	"753"	"601"
"GLKT0ZE01BEFUB"	"195"	"753"	"620"
"GLKT0ZE01EPC94"	"195"	"753"	"638"
"GLKT0ZE01AZQ77"	"195"	"753"	"624"
"GLKT0ZE01AM0UX"	"195"	"753"	"630"
"GLKT0ZE01DT51H"	"195"	"753"	"611"
"GLKT0ZE01DGZ4H"	"195"	"753"	"630"
"GLKT0ZE01A8U0R"	"195"	"753"	"601"
"GLKT0ZE01DVEZ0"	"195"	"753"	"624"
"GLKT0ZE01DEOKQ"	"195"	"753"	"610"
"GLKT0ZE01ANQ0O"	"195"	"753"	"641"
"GLKT0ZE01D58OX"	"195"	"753"	"624"
"GLKT0ZE01C63T7"	"195"	"753"	"635"
"GLKT0ZE01CLHW0"	"195"	"753"	"624"
"GLKT0ZE01CPP09"	"195"	"753"	"601"
"GLKT0ZE01A550H"	"195"	"753"	"630"
"GLKT0ZE01A1CCD"	"195"	"753"	"624"
"GLKT0ZE01CBUYH"	"195"	"753"	"630"
"GLKT0ZE01C87UG"	"195"	"753"	"630"
"GLKT0ZE01BDIJG"	"195"	"753"	"654"
"GLKT0ZE01CN3X8"	"195"	"753"	"601"
"GLKT0ZE01EL4WT"	"195"	"753"	"624"
"GLKT0ZE01CKNW2"	"195"	"753"	"601"
"GLKT0ZE01C0OUL"	"195"	"753"	"601"
"GLKT0ZE01C5ZJB"	"195"	"753"	"624"
"GLKT0ZE01D6PTJ"	"195"	"753"	"601"
"GLKT0ZE01EC8FY"	"195"	"753"	"624"
"GLKT0ZE01ALY63"	"195"	"753"	"630"
"GLKT0ZE01BTSTZ"	"195"	"753"	"601"
"GLKT0ZE01CX6JI"	"195"	"753"	"620"
"GLKT0ZE01CF09Z"	"195"	"753"	"601"
"GLKT0ZE01D3F6Z"	"195"	"753"	"643"
"GLKT0ZE01AXDKS"	"195"	"753"	"601"
"GLKT0ZE01EGGFG"	"195"	"753"	"624"
"GLKT0ZE01A229Y"	"195"	"753"	"624"
"GLKT0ZE01DNPGF"	"195"	"753"	"601"
"GLKT0ZE01BCKGE"	"195"	"753"	"661"
"GLKT0ZE01CTNEE"	"195"	"753"	"630"
"GLKT0ZE01DXO7K"	"195"	"753"	"630"
"GLKT0ZE01BSEOE"	"195"	"753"	"601"
"GLKT0ZE01AUUNG"	"195"	"753"	"624"
"GLKT0ZE01BGHT5"	"195"	"753"	"624"
"GLKT0ZE01DCF3N"	"195"	"753"	"624"
"GLKT0ZE01AJ6TG"	"195"	"753"	"624"
"GLKT0ZE01DYI1N"	"195"	"753"	"624"
"GLKT0ZE01BGKJF"	"195"	"753"	"620"
"GLKT0ZE01D6QCQ"	"195"	"753"	"638"
"GLKT0ZE01DOTBH"	"195"	"753"	"651"
"GLKT0ZE01D4XQ9"	"195"	"753"	"601"
"GLKT0ZE01DNTLN"	"195"	"753"	"601"
"GLKT0ZE01CBI2X"	"195"	"753"	"625"
"GLKT0ZE01DRYBY"	"195"	"753"	"624"
"GLKT0ZE01D5QXR"	"195"	"753"	"624"
"GLKT0ZE01D7WOD"	"195"	"753"	"624"
"GLKT0ZE01BJSX5"	"195"	"753"	"620"
"GLKT0ZE01D7RKS"	"195"	"753"	"610"
"GLKT0ZE01D7EHR"	"195"	"753"	"624"
"GLKT0ZE01CXN7F"	"195"	"753"	"601"
"GLKT0ZE01CRLAF"	"195"	"753"	"624"
"GLKT0ZE01E0K7O"	"195"	"753"	"620"
"GLKT0ZE01AS880"	"195"	"753"	"601"
"GLKT0ZE01CK96B"	"195"	"753"	"643"
"GLKT0ZE01BV9IE"	"195"	"753"	"624"
"GLKT0ZE01DQ9FH"	"195"	"753"	"624"
"GLKT0ZE01DUPSA"	"195"	"753"	"646"
"GLKT0ZE01EK4NY"	"195"	"753"	"601"
"GLKT0ZE01D0OGK"	"195"	"753"	"630"
"GLKT0ZE01EKQLY"	"195"	"753"	"624"
"GLKT0ZE01CJJF2"	"195"	"753"	"624"
"GLKT0ZE01C5PT4"	"195"	"753"	"630"
"GLKT0ZE01D9ERN"	"195"	"753"	"620"
"GLKT0ZE01EN2CD"	"195"	"753"	"601"
"GLKT0ZE01CZO3Q"	"195"	"753"	"620"
"GLKT0ZE01B789O"	"195"	"753"	"624"
"GLKT0ZE01DN4IG"	"195"	"753"	"630"
"GLKT0ZE01AUB2R"	"195"	"753"	"618"
"GLKT0ZE01AU0Y2"	"195"	"753"	"638"
"GLKT0ZE01B9MYG"	"195"	"753"	"598"
"GLKT0ZE01AUR3Y"	"195"	"753"	"625"
"GLKT0ZE01CE69R"	"195"	"753"	"601"
"GLKT0ZE01DS8JA"	"195"	"753"	"620"
"GLKT0ZE01BM0M3"	"195"	"753"	"620"
"GLKT0ZE01BVYNU"	"195"	"753"	"624"
