node_label;node_id;PPCounter;log10(PP*)
100;34;27;-4.183399143474124
101;38;27;-5.592787496153073
102;39;27;-3.336964395183469
103;42;27;-5.599744139371677
104;43;27;-3.5781297668363594
106;49;27;-5.031200423364172
107;50;27;-3.019704316518735
108;53;27;-5.0760795012582625
109;54;27;-3.0199841024675904
110;57;27;-5.226508924468594
111;58;27;-5.235000620675456
112;59;27;-3.0976993613556107
113;62;27;-5.331733725069448
114;63;27;-3.1293203011445967
115;66;27;-5.545033147133993
116;67;27;-5.532448524943927
117;68;27;-4.074413823917773
118;71;27;-5.870112131595268
119;72;27;-4.108203120295815
120;76;27;-4.712726465490373
121;77;27;-3.5072686866573295
122;80;27;-5.282868138984422
123;81;27;-3.731908764632305
124;85;27;-4.303813399913302
125;86;27;-3.211059644681328
126;89;27;-4.95749448589847
127;90;27;-3.623793823615784
130;96;27;-3.8067720584535807
132;100;27;-3.8480744157834694
138;112;27;-4.234777355787165
140;116;27;-4.718569559807061
82;1;28;-2.70818678056361
83;2;28;-2.594409044784223
84;3;28;-2.671117122595408
117;68;28;-4.8417026080804675
85;6;28;-2.778208998259957
86;7;28;-2.6768174796622954
119;72;28;-5.009958473121051
87;11;28;-2.8900530334527486
88;12;28;-3.0304392001025415
120;76;28;-4.02868312919305
121;77;28;-3.4408110926262494
89;15;28;-3.285460749463017
90;16;28;-3.2071997315143603
122;80;28;-4.648228726083817
123;81;28;-3.859206177315632
91;19;28;-5.907502836359922
93;21;28;-3.937753644285793
124;85;28;-5.16176679459329
125;86;28;-3.480199478137313
95;25;28;-3.994033075250529
126;89;28;-5.232457341602795
127;90;28;-3.5680331681006945
98;30;28;-4.726673452165279
130;96;28;-4.138540059128702
100;34;28;-4.631362506516705
132;100;28;-4.403798294838641
102;39;28;-4.291407469506378
104;43;28;-4.7999833742383995
138;112;28;-5.3627284964512265
106;49;28;-5.8927287632989485
107;50;28;-3.444588456074324
140;116;28;-5.519051799096157
108;53;28;-5.964192781025997
109;54;28;-3.4661315943592914
112;59;28;-3.714585328199945
114;63;28;-3.7887505640666705
82;1;29;-3.1541885344039065
83;2;29;-3.337242911947045
115;66;29;-5.72289138040248
84;3;29;-3.402259458314773
117;68;29;-5.1003867606365505
85;6;29;-3.923584228332228
86;7;29;-3.696458598682087
119;72;29;-5.461918254693813
87;11;29;-3.2206871051927366
88;12;29;-3.2755887155843237
120;76;29;-3.010513096633712
121;77;29;-2.7094337041728638
89;15;29;-3.5708106119102894
90;16;29;-3.208636660711432
122;80;29;-2.386614826964576
123;81;29;-2.141425277251804
91;19;29;-5.6335056130645285
92;20;29;-5.79570557516153
93;21;29;-3.8485880692761434
124;85;29;-5.2985547279883445
125;86;29;-3.611389055493042
95;25;29;-4.013541623601207
126;89;29;-5.315610003921385
127;90;29;-3.7688599593331875
98;30;29;-5.530177353555068
130;96;29;-4.236905309738962
100;34;29;-5.84410716479659
132;100;29;-4.495311692887135
102;39;29;-4.25746652106285
104;43;29;-4.762479585572177
138;112;29;-5.243596332331938
106;49;29;-5.634164319809258
107;50;29;-3.3195711037947255
140;116;29;-5.741005405743229
108;53;29;-5.718949546541757
109;54;29;-3.3433258011175866
110;57;29;-5.911150685556192
111;58;29;-5.7603719872277885
112;59;29;-3.581202718095487
113;62;29;-5.69951848465338
114;63;29;-3.6200462573303023
82;1;30;-4.102366901496931
83;2;30;-4.478686310366966
84;3;30;-4.298464622992595
85;6;30;-4.640387009409471
86;7;30;-4.229557601072515
87;11;30;-4.060244002386324
88;12;30;-4.127577569758871
120;76;30;-4.378143241621145
121;77;30;-3.760183203235477
89;15;30;-4.244665292744285
90;16;30;-4.029879803929449
122;80;30;-4.75522940434437
123;81;30;-3.849224438941611
93;21;30;-4.370255973590194
125;86;30;-4.656972003719365
95;25;30;-4.4286471814204145
127;90;30;-4.858621934688816
98;30;30;-5.939867683404305
130;96;30;-5.5487984904848195
132;100;30;-5.658856529425552
102;39;30;-4.631538001420705
104;43;30;-4.994571425578082
107;50;30;-4.174698365093631
109;54;30;-4.329374750428175
112;59;30;-4.767539918239742
114;63;30;-4.83192913103206
82;1;31;-3.866683389121134
83;2;31;-3.8254137767248526
84;3;31;-3.583273285582936
117;68;31;-5.711484839868506
85;6;31;-4.0457738590075625
86;7;31;-3.5994480610841437
119;72;31;-5.8012610528107
87;11;31;-3.9902676847870087
88;12;31;-3.6704596173369533
121;77;31;-4.759363121567273
89;15;31;-4.233693222074589
90;16;31;-3.7253508389491268
123;81;31;-4.833631417688488
93;21;31;-4.318516581804649
125;86;31;-4.10138669915658
95;25;31;-4.420351091364455
127;90;31;-4.531918998140166
98;30;31;-5.559767761749094
130;96;31;-4.71676688706917
100;34;31;-5.733962330688931
132;100;31;-4.782945452165052
102;39;31;-4.626224147689233
104;43;31;-4.991392888594119
138;112;31;-5.143178778151713
107;50;31;-3.9021779777045396
140;116;31;-5.501577460623204
109;54;31;-3.9169497044837898
112;59;31;-4.1397777185913265
114;63;31;-4.245094957062032
82;1;32;-4.666997798236309
83;2;32;-4.679396388511974
84;3;32;-4.1668196025353055
117;68;32;-5.915373887920429
85;6;32;-4.932678371901286
86;7;32;-4.163731692267901
119;72;32;-5.96366986801489
87;11;32;-4.89225135605419
88;12;32;-3.8940687143510444
121;77;32;-5.1929316053540315
89;15;32;-5.501543998590161
90;16;32;-4.020403737766247
123;81;32;-5.444189411869415
93;21;32;-5.276640676995324
125;86;32;-5.195589577637261
95;25;32;-5.490922453409515
127;90;32;-5.243069163560516
130;96;32;-5.982701547024291
102;39;32;-5.890662829863262
107;50;32;-4.4913419648496955
109;54;32;-4.793359887750158
112;59;32;-5.233810767187116
114;63;32;-5.119442023475438
82;1;33;-4.156886336118488
83;2;33;-3.9407710380056598
84;3;33;-3.799866649516407
